id,title,author,location,category,rating,published,summary,IsFiction,publisher,msrp
978-0316769488,The Catcher in the Rye,jd.salinger@literary.com,/Users/library/fiction/classics/catcher_rye.pdf,Literary Fiction,4.7,1951-07-16,A teenage boy struggles with alienation and authenticity in post-war New York City. Holden Caulfield's journey of self-discovery becomes a timeless critique of adult society and phoniness.,TRUE,"Little, Brown and Company",16.99
978-0743273565,The Great Gatsby,f.scott.fitzgerald@roaring20s.com,/Users/library/fiction/classics/great_gatsby.pdf,Literary Fiction,4.8,1925-04-10,"A mysterious millionaire's obsessive love story unfolds in the Jazz Age of New York. Through the eyes of Nick Carraway, we witness the tragic pursuit of the American Dream.",TRUE,Scribner,17.99
978-0451524935,1984,george.orwell@dystopia.com,/Users/library/fiction/classics/1984.pdf,Science Fiction,4.9,1949-06-08,"In a totalitarian future society,  a man struggles to maintain his humanity under oppressive government surveillance. Winston Smith's rebellion against Big Brother becomes a powerful warning about the dangers of authoritarianism.",TRUE,Penguin Books,15.99
978-0060935467,To Kill a Mockingbird,harper.lee@pulitzer.com,/Users/library/fiction/classics/mockingbird.pdf,Literary Fiction,4.9,1960-07-11,"A lawyer in the racially divided South risks everything to defend a black man unjustly accused of a crime. Through the eyes of his daughter Scout, we witness a profound tale of justice, compassion, and moral growth.",TRUE,HarperCollins,14.99
978-0547928227,The Hobbit,jrr.tolkien@middleearth.com,/Users/library/fiction/fantasy/hobbit.pdf,Fantasy,4.8,1937-09-21,"A comfortable hobbit is thrust into an epic adventure across Middle-earth. Bilbo Baggins' journey with thirteen dwarves to reclaim their homeland from a dragon becomes a tale of courage, friendship, and personal growth.",TRUE,Houghton Mifflin Harcourt,18.99
978-0307474278,The Da Vinci Code,dan.brown@thriller.com,/Users/library/fiction/thriller/davinci_code.pdf,Mystery,4.5,2003-03-18,A Harvard symbologist races to solve a murder that leads to an ancient religious mystery. Robert Langdon's investigation challenges the foundations of Christianity while uncovering hidden codes in Leonardo da Vinci's works.,TRUE,Anchor Books,16.99
978-0062315007,The Alchemist,paulo.coelho@spiritual.com,/Users/library/fiction/philosophical/alchemist.pdf,Literary Fiction,4.7,1988-01-01,"A young shepherd embarks on a journey to fulfill his Personal Legend. Through his adventures across the desert, Santiago learns universal truths about following one's dreams and reading the signs of the universe.",TRUE,HarperOne,15.99
978-0345391803,The Hitchhiker's Guide to the Galaxy,douglas.adams@galaxy.com,/Users/library/fiction/scifi/hitchhikers_guide.pdf,Science Fiction,4.8,1979-10-12,"An ordinary man is swept into an extraordinary adventure across space after Earth's destruction. Arthur Dent's cosmic journey becomes a hilarious exploration of the absurdities of life, the universe, and everything.",TRUE,Del Rey,15.99
978-0141439518,Pride and Prejudice,jane.austen@regency.com,/Users/library/fiction/classics/pride_prejudice.pdf,Literary Fiction,4.7,1813-01-28,"A spirited young woman navigates romance and social class in Georgian-era England. Elizabeth Bennet's relationship with the proud Mr. Darcy becomes a witty exploration of love, marriage, and social conventions.",TRUE,Penguin Classics,13.99
978-0307277671,The Road,cormac.mccarthy@postapoc.com,/Users/library/fiction/literary/the_road.pdf,Literary Fiction,4.6,2006-09-26,"A father and son journey through a post-apocalyptic America, fighting for survival. Their harrowing trek becomes a powerful meditation on love, hope, and human nature in the face of ultimate devastation.",TRUE,Vintage,16.99
978-8089062932,Book Title 11,author11@publisher.com,/home/books/book_title_11.pdf,Science,5,2018-04-18,This is a sample summary sentence for Book Title 11. This is a second sentence providing more context about the book.,FALSE,Oxford University Press,29.01
